billing_code,place,tariff_value,extra_unit_value,unit_require,description,source_file,top_level,level1_group,level2_group,leaf,indicators,anchor_id
8913,all,2.04,,FALSE,2.2.6 Examen d'évaluation médicale,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.2 Examens,2.2.6 Examen d'évaluation médicale,,188457
15884,all,4.02,,FALSE,2.4.0 Aide médicale à mourir et sédation palliative continue,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.0 Aide médicale à mourir et sédation palliative continue,,75960
15885,all,4.03,,FALSE,2.4.0 Aide médicale à mourir et sédation palliative continue,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.0 Aide médicale à mourir et sédation palliative continue,,75960
15886,all,4.04,,FALSE,2.4.0 Aide médicale à mourir et sédation palliative continue,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.0 Aide médicale à mourir et sédation palliative continue,,75960
15887,all,4.05,,FALSE,2.4.0 Aide médicale à mourir et sédation palliative continue,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.0 Aide médicale à mourir et sédation palliative continue,,75960
15888,all,4.05,,FALSE,2.4.0 Aide médicale à mourir et sédation palliative continue,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.0 Aide médicale à mourir et sédation palliative continue,,75960
1098,all,36.65,,FALSE,2.4.7 Suppléments,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.7 Suppléments,Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*A; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*B; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*C,187605
1099,cabinet,18.35,,FALSE,2.4.7 Suppléments,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.7 Suppléments,Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*A; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*B; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*C,187605
1099,établissement,18.55,,FALSE,2.4.7 Suppléments,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.7 Suppléments,Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*A; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*B; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*C,187605
1100,cabinet,23.5,,FALSE,2.4.7 Suppléments,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.7 Suppléments,Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*A; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*B; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*C,187605
1100,établissement,23.75,,FALSE,2.4.7 Suppléments,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.7 Suppléments,Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*A; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*B; Ps*.?s*Gs*.?s*2s*.?s*4s*.?s*7s*.?s*7s*C,187605
15896,all,4.1,,FALSE,2.4.10 Téléconsultations,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.10 Téléconsultations,,239434
15894,all,4.1,,FALSE,2.4.10 Téléconsultations,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.10 Téléconsultations,,239434
70017,all,36,,FALSE,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,,241115
70018,all,80,,FALSE,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,,241115
70019,all,36,,FALSE,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,,241115
70020,all,80,,FALSE,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,A - PRÉAMBULE GÉNÉRAL,2. Règles particulières de rémunération,2.4 Divers,2.4.11 Formulaire de demande d'autorisation de paiement de médicaments d'exception ou de patient d'exception,,241115
15841,cabinet,29.3,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15841,établissement,22,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15842,cabinet,29.3,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15842,établissement,22,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15843,cabinet,29.3,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15843,établissement,22,,FALSE,Communication avec un médecin spécialiste,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec un médecin spécialiste,,190591
15844,cabinet,20.9,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
15844,établissement,15.75,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
15845,cabinet,20.9,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
15845,établissement,15.75,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
15846,cabinet,20.9,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
15846,établissement,15.75,,FALSE,Communication avec d'autres professionnels de la santé,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Communications,,Communication avec d'autres professionnels de la santé,,190617
9231,all,44.95,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
15659,all,139.6,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
9234,all,66.5,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
15660,all,139.6,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
9237,all,91.15,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
15661,all,139.6,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
8813,all,66.45,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
8815,all,139.6,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
8926,all,90.75,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
8928,all,121.9,,FALSE,Consultation,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Consultation,,191215
9093,all,28.15,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
15193,all,80.6,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
15763,all,89.25,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
15158,cabinet,9,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
15158,établissement,35.55,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8882,all,17.7,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8883,all,18.5,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8884,all,85.75,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8885,all,89.6,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
9116,all,32.45,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
9117,all,85.75,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
9119,all,59.35,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
9120,all,85.75,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8969,all,51.9,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8979,all,84.3,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8992,all,37.9,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8993,all,88.75,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8994,all,89.55,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8995,all,117.05,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8996,all,66.7,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
8997,all,88.75,,FALSE,Examen (70 ans ou plus),www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE",Consultation et examen pour les patients de 70 ans ou plus,,Examen (70 ans ou plus),,190686
15638,all,87.2,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15639,all,57.25,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15640,all,29.45,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15641,all,72.45,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15642,all,87.2,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15643,all,24.87,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15644,all,27.25,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15645,all,38.2,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15646,all,54.5,,FALSE,Niveau A,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau A,,172592
15647,all,100.9,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15667,all,168.2,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15648,all,66.2,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15649,all,34,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15650,all,83.8,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15651,all,100.9,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15668,all,168.2,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
15652,all,24.87,,FALSE,Niveau B,www.ramq.gouv.qc.ca__manuel-omnipraticiens-remuneration-acte.html__20250831T012406Z__f221b26b.html,"B - CONSULTATION, EXAMEN ET VISITE","Dans un CHSGS, ou un CHSP pour sa partie des soins de courte durée (P.G. 2.2.6 D)",,Niveau B,,41511
